cluster_id,hacks_bin,hacks_n_stars,radius_arcsec,hst_sigma_pm_masyr,hst_sigma_pm_err_masyr,gaia_sigma_pm_masyr,gaia_sigma_pm_err_masyr,sigma_diff_masyr,delta_frac,z_raw,z_corrected,hst_sigma_radial_masyr,hst_sigma_radial_err_masyr,hst_sigma_tangential_masyr,hst_sigma_tangential_err_masyr,hst_beta_pm,median_gaia_density_arcmin2,n_apogee_rows
NGC5272,8,208,41.0674,0.15,0.006,0.16348945019471,0.0153416987862532,0.0134894501947103,0.0899296679647356,0.818870366023297,0.818870366023297,0.157,0.009,0.14,0.007,0.204835895979553,110.95,0
NGC5272,9,208,44.7961,0.148,0.006,0.161761459578905,0.0148300746731391,0.0137614595789055,0.0929828349926046,0.860206964904551,0.860206964904551,0.147,0.008,0.151,0.008,-0.0551622009347958,110.95,0
NGC5272,10,208,48.8741,0.16,0.006,0.160029093453359,0.0143171550574508,2.90934533591358e-05,0.0001818340834945,0.0018741482316009,0.0018741482316009,0.164,0.009,0.156,0.008,0.0951814396192744,110.95,0
NGC5272,11,208,52.9233,0.148,0.005,0.15844645741642,0.0138485675828573,0.0104464574164205,0.070584171732571,0.709506867435497,0.709506867435497,0.155,0.008,0.143,0.008,0.148844953173778,110.95,0
NGC5272,12,208,56.5985,0.15,0.006,0.156766164421043,0.0133305619108312,0.0067661644210435,0.0451077628069566,0.462845816487641,0.462845816487641,0.148,0.008,0.152,0.008,-0.0547845142439738,110.95,0
NGC5272,13,208,61.1482,0.142,0.005,0.154660684720152,0.0126734393848318,0.0126606847201523,0.0891597515503685,0.929286038178829,0.929286038178829,0.151,0.008,0.134,0.007,0.212490680233323,110.95,0
NGC5272,14,208,65.7884,0.145,0.005,0.152668891903342,0.0120517986601571,0.0076688919033418,0.0528889096782193,0.587752314439702,0.587752314439702,0.156,0.008,0.132,0.007,0.284023668639053,110.95,0
NGC5272,15,208,71.7457,0.151,0.006,0.150308350221039,0.0113150710097576,-0.0006916497789605,-0.0045804621123215,-0.0540036978430818,-0.0540036978430818,0.152,0.008,0.149,0.008,0.0390841412742383,110.95,0
NGC5272,16,208,77.628,0.137,0.005,0.147645292009373,0.0105632187779313,0.0106452920093726,0.0777028613822814,0.910880689874646,0.910880689874646,0.143,0.008,0.132,0.007,0.14792899408284,110.95,0
NGC5272,17,208,89.7092,0.138,0.005,0.142712370950397,0.0091760372974836,0.0047123709503974,0.0341476155825902,0.450950451465338,0.450950451465338,0.147,0.008,0.129,0.007,0.229904206580591,110.95,0
